2018-01-27T11:11:16.615+0800 I NETWORK  [conn47] received client metadata from 127.0.0.1:57373 conn47: { application: { name: "Robomongo" }, driver: { name: "MongoDB Internal Client", version: "3.4.3-7-gf394f8c" }, os: { type: "Windows", name: "Microsoft Windows 7", architecture: "x86_64", version: "6.1 SP1 (build 7601)" } }
2018-01-27T11:11:16.650+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:57374 #48 (27 connections now open)
2018-01-27T11:11:16.650+0800 I NETWORK  [conn48] received client metadata from 127.0.0.1:57374 conn48: { application: { name: "MongoDB Shell" }, driver: { name: "MongoDB Internal Client", version: "3.4.3-7-gf394f8c" }, os: { type: "Windows", name: "Microsoft Windows 7", architecture: "x86_64", version: "6.1 SP1 (build 7601)" } }
2018-01-27T11:11:59.865+0800 I -        [conn46] end connection 127.0.0.1:57357 (27 connections now open)
2018-01-27T11:12:01.933+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:57393 #49 (27 connections now open)
2018-01-27T11:12:01.944+0800 I NETWORK  [conn49] received client metadata from 127.0.0.1:57393 conn49: { driver: { name: "nodejs", version: "3.0.1" }, os: { type: "Windows_NT", name: "win32", architecture: "x64", version: "6.1.7601" }, platform: "Node.js v8.9.3, LE, mongodb-core: 3.0.1" }
2018-01-27T11:12:26.493+0800 I -        [conn49] end connection 127.0.0.1:57393 (27 connections now open)
2018-01-27T11:12:28.533+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:57417 #50 (27 connections now open)
2018-01-27T11:12:28.538+0800 I NETWORK  [conn50] received client metadata from 127.0.0.1:57417 conn50: { driver: { name: "nodejs", version: "3.0.1" }, os: { type: "Windows_NT", name: "win32", architecture: "x64", version: "6.1.7601" }, platform: "Node.js v8.9.3, LE, mongodb-core: 3.0.1" }
2018-01-27T11:14:03.689+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:57460 #51 (28 connections now open)
2018-01-27T11:14:03.690+0800 I NETWORK  [conn51] received client metadata from 127.0.0.1:57460 conn51: { application: { name: "Robomongo" }, driver: { name: "MongoDB Internal Client", version: "3.4.3-7-gf394f8c" }, os: { type: "Windows", name: "Microsoft Windows 7", architecture: "x86_64", version: "6.1 SP1 (build 7601)" } }
2018-01-27T11:14:03.734+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:57461 #52 (29 connections now open)
2018-01-27T11:14:03.743+0800 I NETWORK  [conn52] received client metadata from 127.0.0.1:57461 conn52: { application: { name: "MongoDB Shell" }, driver: { name: "MongoDB Internal Client", version: "3.4.3-7-gf394f8c" }, os: { type: "Windows", name: "Microsoft Windows 7", architecture: "x86_64", version: "6.1 SP1 (build 7601)" } }
2018-01-27T11:22:22.189+0800 I -        [conn50] end connection 127.0.0.1:57417 (29 connections now open)
2018-01-27T11:22:24.474+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:57573 #53 (29 connections now open)
